prob,cell_id
0.24,1507660
0.24,1507661
0.24,1507662
0.11,1489573
0.11,1489574
0.11,1489575
0.11,1489576
0.11,1493191
0.11,1493192
0.11,1493193
0.11,1493194
0.11,1496809
0.11,1496810
0.11,1496811
0.11,1496812
0.11,1500427
0.11,1500428
0.11,1500429
0.11,1500431
0.11,1504046
0.11,1504047
0.11,1504048
0.11,1504049
0.11,1507664
0.11,1507665
0.11,1507666
0.11,1507667
0.03,1489577
0.03,1489578
0.03,1489579
0.03,1489580
0.03,1489581
0.03,1493196
0.03,1493197
0.03,1493198
0.03,1493199
0.03,1496815
0.03,1496816
0.03,1496817
0.03,1500432
0.03,1500433
0.03,1500434
0.03,1500435
0.03,1504050
0.03,1504051
0.03,1504052
0.03,1504053
0.03,1507668
0.03,1507669
0.03,1507670
0.03,1507671
0.35,1511273
0.35,1511274
0.35,1511275
0.35,1511276
0.35,1514891
0.35,1514892
0.35,1514893
0.35,1514894
0.35,1518509
0.35,1518510
0.35,1518511
0.35,1518512
0.35,1522127
0.35,1522128
0.35,1522129
0.35,1522130
0.35,1525745
0.35,1525746
0.35,1525747
0.35,1525748
0.25,1511277
0.25,1511278
0.25,1511279
0.25,1511280
0.25,1514895
0.25,1514896
0.25,1514897
0.25,1518513
0.25,1518514
0.25,1525749
0.14,1511282
0.14,1511283
0.14,1511284
0.14,1511285
0.14,1514900
0.14,1514901
0.14,1514902
0.14,1514903
0.03,1511286
0.03,1511287
0.03,1511288
0.03,1511289
0.03,1514904
0.03,1514906
0.03,1514907
0.03,1518524
0.03,1518525
0.03,1522142
0.03,1522143
0.03,1525761
0.39,1529363
0.39,1529364
0.39,1529365
0.39,1529366
0.39,1532981
0.39,1532982
0.39,1532983
0.39,1532984
0.39,1536599
0.39,1536600
0.39,1536601
0.39,1536602
0.39,1540217
0.39,1540218
0.39,1540219
0.39,1540220
0.39,1543835
0.39,1543836
0.39,1543837
0.39,1543838
0.39,1547453
0.39,1547454
0.39,1547455
0.39,1547456
0.29,1529367
0.29,1532985
0.29,1536603
0.29,1540221
0.29,1543839
0.02,1529380
0.02,1529381
0.02,1529382
0.02,1529383
0.02,1532998
0.02,1532999
0.02,1533000
0.02,1533001
0.02,1536617
0.02,1536618
0.02,1536619
0.02,1540236
0.02,1540237
0.02,1543854
0.02,1543855
0.02,1547472
0.02,1547473
0.02,1550973
0.02,1550974
0.02,1550975
0.02,1550976
0.02,1554591
0.02,1554592
0.02,1554593
0.02,1554594
0.02,1558209
0.02,1558210
0.02,1558211
0.02,1558212
0.02,1561827
0.02,1561828
0.02,1561829
0.02,1561830
0.02,1565445
0.02,1565446
0.02,1565447
0.02,1565448
0.02,1569063
0.02,1569064
0.02,1569065
0.02,1569066
0.43,1551071
0.43,1551072
0.43,1551073
0.43,1554689
0.43,1554690
0.43,1554691
0.43,1554692
0.43,1558307
0.43,1558308
0.43,1558309
0.43,1558310
0.43,1561925
0.43,1561926
0.43,1561927
0.43,1561928
0.43,1565543
0.43,1565544
0.43,1565545
0.43,1565546
0.43,1569161
0.43,1569162
0.43,1569163
0.43,1569164
0.34,1554693
0.34,1558311
0.34,1561929
0.34,1565547
0.34,1569165
0.09,1551091
0.09,1554709
0.09,1558327
0.09,1561945
0.09,1565563
0.04,1551092
0.04,1551093
0.04,1551094
0.04,1551095
0.04,1554710
0.04,1554711
0.04,1554712
0.04,1554713
0.04,1558328
0.04,1558329
0.04,1558330
0.04,1558331
0.04,1561946
0.04,1561947
0.04,1561948
0.04,1561949
0.04,1565564
0.04,1565565
0.04,1565566
0.04,1565567
0.04,1569182
0.04,1569183
0.04,1569184
0.04,1569185
0.07,1572676
0.07,1572677
0.07,1572678
0.07,1572679
0.07,1576294
0.07,1576295
0.07,1576296
0.07,1576297
0.07,1579912
0.07,1579913
0.07,1579914
0.07,1579915
0.07,1583530
0.07,1583531
0.07,1583532
0.07,1583533
0.07,1587149
0.07,1587150
0.07,1587151
0.1,1572680
0.1,1572681
0.1,1572682
0.1,1572683
0.1,1572684
0.1,1576298
0.1,1576299
0.1,1576300
0.1,1576301
0.1,1576302
0.1,1579916
0.1,1579917
0.1,1579918
0.1,1579919
0.1,1583534
0.1,1583535
0.1,1583536
0.1,1583537
0.1,1587152
0.1,1587153
0.1,1587154
0.1,1587155
0.17,1572740
0.17,1572741
0.17,1572742
0.17,1572743
0.17,1576358
0.17,1576359
0.17,1576360
0.17,1576361
0.17,1579976
0.17,1579977
0.17,1579978
0.17,1579979
0.17,1583594
0.17,1583595
0.17,1583596
0.17,1583597
0.17,1587212
0.17,1587213
0.17,1587214
0.17,1587215
0.46,1572779
0.46,1572780
0.46,1572781
0.46,1572782
0.46,1576397
0.46,1576398
0.46,1576399
0.46,1576400
0.46,1580014
0.46,1580015
0.46,1580016
0.46,1580017
0.46,1580018
0.46,1583632
0.46,1583633
0.46,1583634
0.46,1583635
0.46,1583636
0.46,1587250
0.46,1587251
0.46,1587252
0.46,1587253
0.38,1572783
0.15,1572799
0.15,1576417
0.15,1580034
0.15,1580035
0.15,1583652
0.15,1583653
0.15,1587269
0.15,1587270
0.15,1587271
0.14,1572800
0.14,1572801
0.14,1572802
0.14,1572803
0.14,1576418
0.14,1576419
0.14,1576420
0.14,1576421
0.14,1580036
0.14,1580037
0.14,1580038
0.14,1580039
0.14,1583654
0.14,1583655
0.14,1583656
0.14,1583657
0.14,1587272
0.14,1587273
0.14,1587274
0.14,1587275
0.01,1590715
0.01,1590716
0.01,1590717
0.01,1594332
0.01,1594333
0.01,1594334
0.01,1594335
0.01,1597950
0.01,1597951
0.01,1597952
0.01,1597953
0.01,1601567
0.01,1601568
0.01,1601569
0.01,1601570
0.01,1601571
0.01,1605185
0.01,1605186
0.01,1605187
0.01,1605188
0.01,1605189
0.01,1608803
0.01,1608804
0.01,1608805
0.01,1608806
0.03,1590718
0.03,1590719
0.03,1590720
0.03,1590721
0.03,1590722
0.03,1594336
0.03,1594337
0.03,1594338
0.03,1594339
0.03,1597954
0.03,1597955
0.03,1597956
0.03,1597957
0.03,1601572
0.03,1601573
0.03,1601574
0.03,1601575
0.03,1605190
0.03,1605191
0.03,1605192
0.03,1605193
0.03,1608807
0.03,1608808
0.03,1608809
0.03,1608810
0.03,1608811
0.05,1590723
0.05,1590724
0.05,1590725
0.05,1590726
0.05,1594340
0.05,1594341
0.05,1594342
0.05,1594343
0.05,1594344
0.05,1597958
0.05,1597959
0.05,1597960
0.05,1597961
0.05,1597962
0.05,1601576
0.05,1601577
0.05,1601578
0.05,1601579
0.05,1605194
0.05,1605195
0.05,1605196
0.05,1605197
0.05,1608812
0.05,1608813
0.05,1608814
0.05,1608815
0.06,1590727
0.06,1590728
0.06,1590729
0.06,1590730
0.06,1594345
0.06,1594346
0.06,1594347
0.06,1594348
0.06,1597963
0.06,1597964
0.06,1597965
0.06,1597966
0.06,1601580
0.06,1601581
0.06,1601582
0.06,1601583
0.06,1601584
0.06,1605198
0.06,1605199
0.06,1605200
0.06,1605201
0.06,1608816
0.06,1608817
0.06,1608818
0.06,1608819
0.02,1590731
0.02,1590732
0.02,1590733
0.02,1590734
0.02,1594349
0.02,1594350
0.02,1594351
0.02,1594352
0.02,1597967
0.02,1597968
0.02,1597969
0.02,1597970
0.02,1601585
0.02,1601586
0.02,1601587
0.02,1601588
0.02,1605202
0.02,1605203
0.02,1605204
0.02,1605205
0.02,1605206
0.02,1608820
0.02,1608821
0.02,1608822
0.02,1608823
0.02,1608824
0.12,1590767
0.12,1590768
0.12,1590769
0.12,1594386
0.12,1594387
0.19,1590770
0.19,1590771
0.19,1590772
0.19,1590773
0.19,1594388
0.19,1594389
0.19,1594390
0.19,1594391
0.19,1598005
0.19,1598006
0.19,1598007
0.19,1598008
0.19,1598009
0.19,1601624
0.19,1601625
0.19,1601626
0.19,1601627
0.19,1605243
0.19,1605244
0.19,1608862
0.23,1590864
0.23,1590865
0.23,1590866
0.23,1590867
0.23,1594482
0.23,1594483
0.23,1594484
0.23,1594485
0.23,1598100
0.23,1598101
0.23,1598102
0.23,1598103
0.23,1601718
0.23,1601719
0.23,1601720
0.23,1601721
0.23,1605336
0.23,1605337
0.23,1605338
0.23,1605339
0.23,1608954
0.23,1608955
0.23,1608956
0.23,1608957
0.46,1590868
0.46,1590869
0.46,1590870
0.46,1590871
0.46,1594486
0.46,1594487
0.46,1594488
0.46,1594489
0.46,1598104
0.46,1598105
0.46,1598106
0.46,1601722
0.46,1601723
0.46,1605340
0.46,1608958
0.25,1605356
0.25,1608974
0.19,1590886
0.19,1590887
0.19,1590888
0.19,1590889
0.19,1594504
0.19,1594505
0.19,1594506
0.19,1594507
0.19,1598121
0.19,1598122
0.19,1598123
0.19,1598124
0.19,1598125
0.19,1601739
0.19,1601740
0.19,1601741
0.19,1601742
0.19,1601743
0.19,1605357
0.19,1605358
0.19,1605359
0.19,1605360
0.19,1605361
0.19,1608975
0.19,1608976
0.19,1608977
0.19,1608978
0.01,1612417
0.01,1612418
0.01,1612419
0.01,1612420
0.01,1616034
0.01,1616035
0.01,1616036
0.01,1616037
0.01,1616038
0.01,1619652
0.01,1619653
0.01,1619654
0.01,1619655
0.01,1623270
0.01,1623271
0.01,1623272
0.01,1623273
0.01,1626888
0.01,1626889
0.01,1626890
0.01,1626891
0.01,1630506
0.01,1630507
0.01,1630508
0.01,1630509
0.02,1612421
0.02,1612422
0.02,1612423
0.02,1612424
0.02,1616039
0.02,1616040
0.02,1616041
0.02,1616042
0.02,1619656
0.02,1619657
0.02,1619658
