cell_id,therm_prs
3505866,0
3505867,0
3505868,0
3505869,0
3505870,0.33712
3505871,1
3509479,0.15999
3509480,0.09377
3509481,0.0434
3509482,0.0076
3509483,0
3509484,0
3509485,0
3509486,0
3509487,0.49051
3513096,0.17699
3513097,0.10911
3513098,0.05584
3513099,0.01803
3513100,0
3513101,0
3513102,0
3513103,0
3513104,0.16477
3516713,0.18667
3516714,0.13023
3516715,0.07064
3516716,0.02475
3516717,0
3516718,0
3516719,0
3516720,0
3516721,0
3516722,0
3520330,0.18768
3520331,0.13693
3520332,0.0701
3520333,0.01244
3520334,0
3520335,0
3520336,0
3520337,0
3520338,0
3520339,0
3520340,0
3523947,0.20062
3523948,0.14203
3523949,0.06722
3523950,0.00142
3523951,0
3523952,0
3523953,0
3523954,0
3523955,0
3523956,0
3523957,0
3523958,0.11478
3527565,0.15806
3527566,0.08503
3527567,0.01369
3527568,0
3527569,0
3527570,0
3527571,0
3527572,0
3527573,0
3527574,0
3527575,0
3531182,0.17225
3531183,0.09673
3531184,0.02383
3531185,0
3531186,0
3531187,0
3531188,0
3531189,0
3531190,0
3531191,0
3531192,0
3531193,0
3534799,0.17872
3534800,0.10295
3534801,0.0266
3534802,0
3534803,0
3534804,0
3534805,0
3534806,0
3534807,0
3534808,0
3534809,0
3534810,0
3538416,0.2043
3538417,0.13379
3538418,0.05906
3538419,0
3538420,0
3538421,0
3538422,0
3538423,0
3538424,0
3538425,0
3538426,0
3538427,0
3542033,0.23595
3542034,0.15545
3542035,0.08558
3542036,0.02091
3542037,0
3542038,0
3542039,0
3542040,0
3542041,0
3545650,0.25266
3545651,0.18349
3545652,0.11906
3545653,0.04119
3545654,0
3545655,0
3545656,0
3545657,0
3545658,0
3549267,0.29214
3549268,0.23059
3549269,0.16525
3549270,0.08665
3549271,0
3549272,0
3549273,0
3549274,0
3549275,0
3552884,0.32854
3552885,0.26813
3552886,0.20024
3552887,0.12399
3552888,0.03115
3552889,0
3552890,0
3552891,0
3552892,0
3552893,0
3556502,0.30121
3556503,0.23841
3556504,0.15696
3556505,0.07729
3556506,0.00225
3556507,0
3556508,0
3556509,0
3556510,0
3556511,0
3556512,0.32619
3560119,0.32657
3560120,0.25069
3560121,0.17789
3560122,0.10326
3560123,0.02937
3560124,0
3560125,0
3560126,0
3560127,0
3560128,0
3560129,0
3560130,0
3563736,0.35113
3563737,0.29032
