cell_id,rescaled_catch
1206212,4.7971076826716847e-4
1209826,3.997376132047285e-4
1209827,4.1043914917862867e-4
1209828,4.3837848860749394e-4
1209829,4.515151046233595e-4
1195362,2.4331576103532446e-4
1195363,2.526715948807702e-4
1195364,2.583748086632679e-4
1195365,2.6753839934750585e-4
1198979,2.3665133144678782e-4
1198980,2.435720852502682e-4
1198981,2.551066749227355e-4
1198982,2.597205107917224e-4
1202596,2.2210493224873178e-4
1202597,2.3255014400768825e-4
1202598,2.398553841335843e-4
1202599,2.475451105818958e-4
1206213,2.1454336790789207e-4
1206214,2.2075923012027725e-4
1206215,2.3344727875999132e-4
1209830,2.0147083294576247e-4
1209831,2.0775077621188354e-4
1209832,2.2082331117401322e-4
1195366,0.002399194651873202
1195367,0.0025624731767923503
1195368,0.002614442911372189
1195369,0.002583684005578943
1198983,0.0024296972334515044
1198984,0.002501211689420802
1198985,0.002579646899193579
1202600,0.0022959600743046194
1202601,0.002377278931495514
1202602,0.0024233532091316474
1206216,0.0021146106922319387
1206217,0.0022635350611142388
1206218,0.0023088403661055412
1206219,0.0024114982141905
1209833,0.0020074030893317287
1209834,0.002127042416656709
1209835,0.0021877912555983703
1209836,0.0023296026275159824
1195370,7.329590926315621e-4
1195371,7.654481868756783e-4
1195372,7.797382618587906e-4
1198986,7.152086407467095e-4
1198987,7.37572928500549e-4
1198988,7.586555951796699e-4
1198989,7.689085637774185e-4
1202603,6.840652486310478e-4
1202604,7.051479153101686e-4
1202605,7.3488152424364e-4
1202606,7.344329568674884e-4
1206220,6.680449851970654e-4
1206221,6.888713276612425e-4
1206222,6.989320530977834e-4
1206223,7.144396681018785e-4
1209837,6.32031432997473e-4
1209838,6.547802070737279e-4
1209839,6.632389061668707e-4
1209840,6.858595181356538e-4
1213427,7.689726448311543e-6
1213428,7.625645394575615e-6
1213429,7.689726448311543e-6
1213430,7.689726448311543e-6
1217044,7.625645394575615e-6
1217045,7.561564340839685e-6
1217046,7.561564340839685e-6
1217047,7.689726448311543e-6
1220661,7.625645394575615e-6
1220662,7.561564340839685e-6
1220663,7.561564340839685e-6
1220664,7.689726448311543e-6
1224278,7.625645394575615e-6
1224279,7.561564340839685e-6
1224280,7.561564340839685e-6
1224281,7.625645394575615e-6
1227895,7.753807502047474e-6
1227896,7.625645394575615e-6
1227897,7.625645394575615e-6
1227898,7.625645394575615e-6
1231512,7.817888555783403e-6
1231513,7.753807502047474e-6
1231514,7.689726448311543e-6
1231515,7.689726448311543e-6
1213431,8.602240653511181e-4
1213432,8.577249042554168e-4
1213433,8.632999559304428e-4
1213434,8.709256013250184e-4
1217048,8.827165152124292e-4
1217049,8.694517370890919e-4
1217050,8.998261565599225e-4
1217051,8.955968070133511e-4
1220665,8.76628815107516e-4
1220666,9.009796155271693e-4
1220667,9.353911413833634e-4
1220668,9.268042801827489e-4
1224282,9.329560613413981e-4
1224283,9.810809326970813e-4
1224284,0.0010108145416305525
1224285,9.910775770798862e-4
1227899,0.0010828416460297375
1227900,0.0010968753967979057
1227901,0.0010852767260717028
1227902,0.0010904672914243128
1231516,0.0010927742093588062
1231517,0.0010871991576837806
1231518,0.0010807910523101876
1213435,2.326142250614242e-5
1213436,2.3069179344934634e-5
1213437,2.4158557258445434e-5
1213438,2.3902233043501715e-5
1217052,2.3645908828558e-5
1217053,2.4286719365917292e-5
1217054,2.4735286742068803e-5
1217055,2.4286719365917292e-5
1220669,2.595282676305146e-5
1220670,2.5119773064484377e-5
1220671,2.4671205688332873e-5
1220672,2.4543043580861012e-5
1224286,3.357847215762708e-5
1224287,2.9028717342376083e-5
1224288,2.5119773064484377e-5
1227903,5.1585248257423274e-5
1227904,4.383144075537581e-5
1227905,3.0118095255886883e-5
1231519,5.491746305169161e-5
1231520,5.466113883674789e-5
1231521,5.4404814621804186e-5
1231522,4.66510071197567e-5
1213439,7.225138808726056e-4
1213440,7.303317694283889e-4
1213441,7.302036073209171e-4
1213442,7.39367198005155e-4
1217056,7.326386873628824e-4
1217057,7.40264332757458e-4
1217058,7.382778200916442e-4
1217059,7.478258970982977e-4
