cell_id,rescaled_catch
3433525,4.609105887126326e-8
3433526,4.609105887126326e-8
3415442,0.6065224851202343
3415443,0.5852584857285184
3415444,0.570189576341477
3415445,0.5471759234821608
3415446,0.532680184066819
3419059,0.6140117152667905
3419060,0.5897302909603732
3419061,0.5792999304288651
3419062,0.555147694751358
3419063,0.5392300507789435
3422676,0.6165087168175648
3422677,0.5957048168119252
3422678,0.5813188386441794
3422679,0.5589429339391472
3422680,0.5434105789551554
3426293,0.6172468236434351
3426294,0.5971337456463698
3426295,0.5808512356337188
3426296,0.5596040364329613
3426297,0.5430376654160398
3429910,0.6152741447601686
3429911,0.5916057361458449
3429912,0.5797217281450197
3429913,0.554269715389131
3429914,0.5359403659794895
3433527,0.6124099541797905
3433528,0.5884571959959723
3433529,0.5740792192360465
3433530,0.5513940527441998
3433531,0.5312006103768867
3415447,0.4939061591461689
3415448,0.4787817929970938
3415449,0.46672450566044194
3415450,0.4541586864530518
3415451,0.44675368771658286
3419064,0.5015518546102754
3419065,0.48157042189555826
3419066,0.4724549332642119
3419067,0.45224107255781876
3419068,0.44642873653332865
3422681,0.5037891606989453
3422682,0.4848585810809636
3422683,0.47248933563055345
3422684,0.45120863283910245
3422685,0.44192423430431066
3426298,0.5027971382297531
3426299,0.48472322085927033
3426300,0.46979314695976115
3426301,0.4503042248637188
3426302,0.43973099587702746
3429915,0.4998182408311622
3429916,0.4771098029636916
3429917,0.4651974950527193
3429918,0.44824370103134953
3429919,0.43783631228358294
3433532,0.49784793563742763
3433533,0.4758651415735084
3433534,0.46129161427810955
3433535,0.451248464732179
3433536,0.4334979775400076
3415452,0.6385025911720368
3415455,0.5832286216685103
3415456,0.652394003059882
3419069,0.6333532750294097
3419070,0.6324235215807528
3419071,0.6346185206864848
3419072,0.6425977817527484
3419073,0.6464199749917656
3422686,0.6287363520986989
3422687,0.6204743454317895
3422688,0.6230120499966529
3422689,0.6158860727032729
3422690,0.5336423303116506
3426303,0.62681881194916
3426304,0.6178841892419304
3426305,0.6183909788706436
3426306,0.4156125403365671
3426307,0.05751045517134849
3429920,0.6240464992855359
3429921,0.3591833076606442
3429922,0.15540329198087163
3433537,0.6217069494009718
3433538,0.09930411737752588
3415457,0.0017463856115262778
3419074,7.459008239254275e-4
3455223,6.738512806978688e-6
3437141,5.070016475838958e-8
3437142,4.609105887126326e-8
3437143,4.1481952984136934e-8
3440757,5.070016475838958e-8
3440758,4.609105887126326e-8
3440759,4.609105887126326e-8
3440760,4.1481952984136934e-8
3444374,5.070016475838958e-8
3444375,4.609105887126326e-8
3444376,4.1481952984136934e-8
3444377,4.1481952984136934e-8
3447990,5.070016475838958e-8
3447991,5.070016475838958e-8
3447992,4.609105887126326e-8
3447993,4.1481952984136934e-8
3447994,3.687284709701061e-8
3451607,5.070016475838958e-8
3451608,4.609105887126326e-8
3451609,4.609105887126326e-8
3451610,4.1481952984136934e-8
3451611,3.687284709701061e-8
3455224,5.070016475838958e-8
3455225,4.609105887126326e-8
3455226,4.1481952984136934e-8
3455227,4.1481952984136934e-8
3455228,3.687284709701061e-8
3437144,0.9581168999377251
3437145,0.9226091501677283
3437146,0.8948493949670027
3437147,0.8651405456778348
3437148,0.8322626318902793
3440761,0.9478960002232577
3440762,0.9076299247630386
3440763,0.8861812062346843
3440764,0.8491867386606301
3440765,0.8228160020464724
3444378,0.9383760533321042
3444379,0.8980790738169122
3444380,0.8746707293931636
3444381,0.8405660098916315
3444382,0.8214263520123979
3447995,0.9293406940066056
3447996,0.8932779664058457
3447997,0.8647384288438184
3447998,0.8364858173414764
3447999,0.82097619446772
3451612,0.9174011601071581
3451613,0.8755694773865179
3451614,0.8532664288182433
3451615,0.829165497098366
3451616,0.8124466799042275
3455229,0.9041840143195405
3455230,0.8617177821641019
3455231,0.8396112843072782
3455232,0.8213572522969381
3455233,0.8008605860715227
3437149,1
3437150,1
3437151,1
3437152,1
3437153,1
3440766,1
3440767,1
3440768,1
3440769,1
3444383,1
3444384,1
3444385,1
3448000,1
3448001,1
3451617,1
3451618,0.9515299437505268
3455234,1
3458840,1.696150966462488e-6
3462457,1.6316234840427193e-6
3466074,1.571705107510077e-6
3469690,1.6592781193654772e-6
3469691,1.544050472187319e-6
3473307,1.6224052722684667e-6
3473308,1.502568519203182e-6
3476924,1.585532425171456e-6
3476925,1.4610865662190453e-6
3480541,1.5624868957358244e-6
3480542,1.4518683544447927e-6
3458841,2.304552943563163e-8
3458842,2.304552943563163e-8
3458843,1.8436423548505303e-8
3458844,1.8436423548505303e-8
3458845,1.8436423548505303e-8
3462458,2.304552943563163e-8
3462459,2.304552943563163e-8
3462460,1.8436423548505303e-8
3462461,1.8436423548505303e-8
3462462,1.8436423548505303e-8
3466075,2.304552943563163e-8
3466076,1.8436423548505303e-8
3466077,1.8436423548505303e-8
3466078,1.8436423548505303e-8
3466079,1.3827317661378978e-8
3469692,2.304552943563163e-8
3469693,1.8436423548505303e-8
3469694,1.8436423548505303e-8
3469695,1.8436423548505303e-8
3469696,1.3827317661378978e-8
3473309,2.304552943563163e-8
3473310,1.8436423548505303e-8
3473311,1.8436423548505303e-8
3473312,1.8436423548505303e-8
3473313,1.3827317661378978e-8
3476926,1.8436423548505303e-8
3476927,1.8436423548505303e-8
3476928,1.8436423548505303e-8
3476929,1.8436423548505303e-8
3476930,1.3827317661378978e-8
3480543,1.8436423548505303e-8
3480544,1.8436423548505303e-8
3480545,1.8436423548505303e-8
3480546,1.3827317661378978e-8
3480547,1.3827317661378978e-8
3458846,1
3458847,1
3458848,1
3458849,1
3458850,1
3462463,1
3462464,1
3462465,1
3462466,1
3462467,0.48034689325586755
3466080,1
3466081,1
3466082,1
3466083,0.7823144658029039
3469697,1
3469698,1
3469699,0.8634334480848904
3473314,1
3473315,1
3473316,0.5045787051465159
3476931,1
3476932,1
3476933,0.5950358880563149
3480548,1
3480549,1
3484158,4.609105887126326e-9
3484159,4.609105887126326e-9
3487775,4.609105887126326e-9
3487776,4.609105887126326e-9
3491392,4.609105887126326e-9
3491393,4.609105887126326e-9
3491394,4.609105887126326e-9
3495009,4.609105887126326e-9
3495010,4.609105887126326e-9
3495011,4.609105887126326e-9
3498627,4.609105887126326e-9
3498628,4.609105887126326e-9
3502244,4.609105887126326e-9
3502245,4.609105887126326e-9
3484160,4.609105887126326e-9
3484161,4.609105887126326e-9
3484162,4.609105887126326e-9
3484163,4.609105887126326e-9
3484164,4.609105887126326e-9
3487777,4.609105887126326e-9
3487778,4.609105887126326e-9
3487779,4.609105887126326e-9
3487780,4.609105887126326e-9
3487781,4.609105887126326e-9
3491395,4.609105887126326e-9
3491396,4.609105887126326e-9
3491397,4.609105887126326e-9
3491398,4.609105887126326e-9
3491399,0
3495012,4.609105887126326e-9
3495013,4.609105887126326e-9
3495014,4.609105887126326e-9
3495015,4.609105887126326e-9
3495016,0
3498629,4.609105887126326e-9
3498630,4.609105887126326e-9
3498631,4.609105887126326e-9
3498632,4.609105887126326e-9
3498633,4.609105887126326e-9
3502246,4.609105887126326e-9
3502247,4.609105887126326e-9
3502248,4.609105887126326e-9
3502249,4.609105887126326e-9
3502250,4.609105887126326e-9
3484165,1
3484166,1
3484167,0.6061296003253098
3487782,1
3487783,1
3491400,1
3491401,1
3495017,1
3495018,1
3498634,1
3498635,1
3498636,1
3502251,1
3502252,1
3502253,1
3502254,1
3505861,1.1983675306528445e-7
3505862,1.1061854129103182e-7
3509479,1.1061854129103182e-7
3513096,1.1061854129103182e-7
3516713,1.1061854129103182e-7
3520330,1.1061854129103182e-7
3523947,1.1061854129103182e-7
3505863,5.070016475838958e-8
3505864,4.609105887126326e-8
3505865,4.1481952984136934e-8
3505866,4.1481952984136934e-8
3505867,3.687284709701061e-8
3509480,5.070016475838958e-8
3509481,4.609105887126326e-8
3509482,4.609105887126326e-8
3509483,4.1481952984136934e-8
3509484,3.687284709701061e-8
3513097,5.070016475838958e-8
3513098,4.609105887126326e-8
3513099,4.609105887126326e-8
3513100,4.1481952984136934e-8
3513101,3.687284709701061e-8
3516714,5.070016475838958e-8
3516715,4.609105887126326e-8
3516716,4.609105887126326e-8
3516717,4.1481952984136934e-8
3516718,3.687284709701061e-8
3520331,5.070016475838958e-8
3520332,4.609105887126326e-8
3520333,4.609105887126326e-8
3520334,4.1481952984136934e-8
3520335,3.687284709701061e-8
3523948,5.070016475838958e-8
3523949,4.609105887126326e-8
3523950,4.609105887126326e-8
3523951,4.1481952984136934e-8
3523952,4.1481952984136934e-8
3505868,1
3505869,1
3505870,1
3505871,1
3509485,1
3509486,1
3509487,1
3513102,1
3513103,1
3513104,1
3516719,1
3516720,1
3516721,1
3516722,0.9412289608212705
3520336,1
3520337,1
3520338,1
3520339,1
3520340,1
3523953,1
3523954,1
3523955,1
3523956,1
3523957,1
3523958,1
3545650,3.226374120988428e-8
3527565,1.6592781193654774e-7
3527566,1.567096001622951e-7
3527567,1.5210049427516875e-7
3527568,1.428822825009161e-7
